@relation TestUser1

@attribute FeatureName1AccX numeric
@attribute FeatureName2AccX numeric
@attribute FeatureName3AccX numeric
@attribute FeatureName1AccY numeric
@attribute FeatureName2AccY numeric
@attribute FeatureName3AccY numeric
@attribute FeatureName1AccZ numeric
@attribute FeatureName2AccZ numeric
@attribute FeatureName3AccZ numeric
@attribute FeatureName1GyrX numeric
@attribute FeatureName2GyrX numeric
@attribute FeatureName3GyrX numeric
@attribute FeatureName1GyrY numeric
@attribute FeatureName2GyrY numeric
@attribute FeatureName3GyrY numeric
@attribute FeatureName1GyrZ numeric
@attribute FeatureName2GyrZ numeric
@attribute FeatureName3GyrZ numeric
@attribute class {1, 0}

@data
-0.243938, -0.849616, 0.149149, 0.082455, -0.300961, 0.420813, 0.285910, -0.253020, 0.580615, 5.192088, 3.700568, 5.845269, -0.225248, -2.350555, 2.369704, 8.701778, 7.645287, 10.709146, 0
-0.241714, -0.849616, 0.149149, 0.081513, -0.300961, 0.420813, 0.271158, -0.346238, 0.580615, 5.202720, 3.700568, 5.845269, -0.257556, -2.350555, 2.369704, 8.694467, 7.645287, 10.709146, 0
-0.239197, -0.849616, 0.149149, 0.080798, -0.300961, 0.420813, 0.255229, -0.410159, 0.580615, 5.213068, 3.700568, 5.845269, -0.286560, -2.350555, 2.369704, 8.690829, 7.645287, 10.709146, 0
-0.237142, -0.849616, 0.149149, 0.080155, -0.300961, 0.420813, 0.238575, -0.471417, 0.580615, 5.225020, 3.700568, 5.845269, -0.310808, -2.350555, 2.369704, 8.689643, 7.645287, 10.709146, 0
-0.236656, -0.849616, 0.149149, 0.079802, -0.300961, 0.420813, 0.221593, -0.503377, 0.580615, 5.237619, 3.700568, 5.845269, -0.332371, -2.350555, 2.369704, 8.688691, 7.645287, 10.709146, 0
-0.238202, -0.849616, 0.149149, 0.079816, -0.300961, 0.420813, 0.205128, -0.506041, 0.580615, 5.250602, 3.700568, 5.845269, -0.354389, -2.350555, 2.369704, 8.686476, 7.645287, 10.709146, 0
-0.240864, -0.849616, 0.149149, 0.079984, -0.300961, 0.420813, 0.189822, -0.506041, 0.580615, 5.265051, 3.700568, 5.931440, -0.377940, -2.350555, 2.369704, 8.679807, 7.645287, 10.709146, 0
-0.242981, -0.849616, 0.149149, 0.080584, -0.300961, 0.420813, 0.176570, -0.506041, 0.580615, 5.279371, 3.700568, 5.960164, -0.402340, -2.350555, 2.369704, 8.671138, 7.645287, 10.709146, 0
-0.243262, -0.849616, 0.149149, 0.081681, -0.300961, 0.420813, 0.166138, -0.506041, 0.580615, 5.292023, 3.700568, 5.960164, -0.427209, -2.350555, 2.369704, 8.663368, 7.645287, 10.709146, 0
-0.241524, -0.849616, 0.149149, 0.082853, -0.300961, 0.420813, 0.158326, -0.506041, 0.580615, 5.301035, 3.700568, 5.960164, -0.449805, -2.350555, 2.369704, 8.656998, 7.645287, 10.709146, 0
-0.238192, -0.849616, 0.149149, 0.083760, -0.300961, 0.420813, 0.152127, -0.506041, 0.580615, 5.306241, 3.700568, 5.960164, -0.468821, -2.350555, 2.369704, 8.651671, 7.645287, 10.709146, 0
-0.234174, -0.849616, 0.149149, 0.084354, -0.300961, 0.420813, 0.146411, -0.506041, 0.580615, 5.308902, 3.700568, 5.960164, -0.487039, -2.350555, 2.369704, 8.647015, 7.645287, 10.709146, 0
-0.230209, -0.849616, 0.149149, 0.084570, -0.300961, 0.420813, 0.140396, -0.506041, 0.580615, 5.310070, 3.700568, 5.960164, -0.504279, -2.350555, 2.369704, 8.643331, 7.645287, 10.709146, 0
-0.226540, -0.849616, 0.149149, 0.084378, -0.300961, 0.420813, 0.133640, -0.506041, 0.580615, 5.311708, 3.700568, 5.960164, -0.521408, -2.350555, 2.369704, 8.639605, 7.645287, 10.709146, 0
-0.223663, -0.849616, 0.149149, 0.083781, -0.300961, 0.420813, 0.126204, -0.506041, 0.580615, 5.315019, 3.700568, 5.960164, -0.539445, -2.350555, 2.369704, 8.635441, 7.645287, 10.709146, 0
-0.221395, -0.849616, 0.149149, 0.082821, -0.300961, 0.420813, 0.118451, -0.506041, 0.580615, 5.320335, 3.700568, 5.960164, -0.557878, -2.350555, 2.369704, 8.630686, 7.645287, 10.709146, 0
-0.219142, -0.849616, 0.149149, 0.081664, -0.300961, 0.420813, 0.110690, -0.506041, 0.580615, 5.327198, 3.700568, 5.960164, -0.575953, -2.350555, 2.369704, 8.626244, 7.645287, 10.709146, 0
-0.216504, -0.849616, 0.149149, 0.080291, -0.300961, 0.420813, 0.103358, -0.506041, 0.580615, 5.333953, 3.700568, 5.960164, -0.591297, -2.350555, 2.369704, 8.623670, 7.645287, 10.709146, 0
-0.213640, -0.849616, 0.149149, 0.078789, -0.300961, 0.420813, 0.096666, -0.506041, 0.580615, 5.339497, 3.700568, 5.960164, -0.604222, -2.350555, 2.369704, 8.621959, 7.645287, 10.709146, 0
-0.211141, -0.849616, 0.149149, 0.077063, -0.300961, 0.420813, 0.090509, -0.506041, 0.580615, 5.345840, 3.700568, 5.960164, -0.616371, -2.350555, 2.369704, 8.619713, 7.645287, 10.709146, 0
-0.209594, -0.849616, 0.149149, 0.074990, -0.300961, 0.420813, 0.084831, -0.506041, 0.580615, 5.353624, 3.700568, 5.960164, -0.630477, -2.350555, 2.369704, 8.615563, 7.645287, 10.709146, 0
-0.209341, -0.849616, 0.149149, 0.072692, -0.300961, 0.420813, 0.079732, -0.506041, 0.580615, 5.360764, 3.700568, 5.960164, -0.645708, -2.350555, 2.369704, 8.610530, 7.645287, 10.709146, 0
-0.210101, -0.849616, 0.149149, 0.070261, -0.300961, 0.420813, 0.075587, -0.506041, 0.580615, 5.367483, 3.700568, 5.960164, -0.661445, -2.350555, 2.369704, 8.603935, 7.645287, 10.709146, 0
-0.211309, -0.849616, 0.149149, 0.067710, -0.300961, 0.420813, 0.072332, -0.506041, 0.580615, 5.373892, 3.700568, 5.960164, -0.676829, -2.350555, 2.369704, 8.597986, 7.645287, 10.709146, 0
-0.212190, -0.849616, 0.149149, 0.065113, -0.300961, 0.420813, 0.069654, -0.506041, 0.580615, 5.380280, 3.700568, 5.960164, -0.690873, -2.350555, 2.369704, 8.594718, 7.645287, 10.709146, 0
-0.211971, -0.849616, 0.149149, 0.062448, -0.300961, 0.420813, 0.067300, -0.506041, 0.580615, 5.388742, 3.700568, 5.960164, -0.703999, -2.350555, 2.369704, 8.591582, 7.645287, 10.709146, 0
-0.210701, -0.849616, 0.149149, 0.059741, -0.300961, 0.420813, 0.064945, -0.506041, 0.580615, 5.396001, 3.700568, 5.960164, -0.716428, -2.350555, 2.369704, 8.589102, 7.645287, 10.709146, 0
-0.209155, -0.849616, 0.149149, 0.057133, -0.300961, 0.420813, 0.062759, -0.506041, 0.580615, 5.402054, 3.700568, 5.960164, -0.728508, -2.350555, 2.369704, 8.586814, 7.645287, 10.709146, 0
-0.207854, -0.849616, 0.149149, 0.054786, -0.300961, 0.420813, 0.060979, -0.506041, 0.580615, 5.406611, 3.700568, 5.960164, -0.739313, -2.350555, 2.369704, 8.585394, 7.645287, 10.709146, 0
